	1.01	1.02	1.03	1.04	1.05	1.06	1.07	1.08	1.09	1.1	1.11	1.12	1.13	1.14	1.15	1.16	1.17	1.18	1.19	1.2
100000	80612	76551	72089	67895	63090	58941	54723	50596	46807	43263	39413	36662	33585	31126	28641	26412	24394	22820	21057	19518
200000	157939	149761	140157	131219	122022	112303	104214	95639	87958	80927	74026	67855	62249	56932	52449	48125	44217	40562	37521	34512
300000	233987	220858	206697	192840	178669	165514	152151	139475	126890	116591	106889	97116	88458	81453	74613	68283	63024	57486	52837	48803
400000	309777	291376	273304	253612	235194	216248	198065	181197	166077	151126	138077	126090	115436	104865	95664	87591	80318	73556	67494	61811
500000	384552	361903	338272	313748	289976	266201	244760	222747	203654	185675	169195	153565	139713	127707	116283	106107	97126	88795	80993	74518
600000	459096	431502	402724	373919	344926	316675	289542	264168	241023	218880	199145	181568	164645	149639	136364	124433	113065	103282	95156	86984
700000	533108	500031	466654	432155	398434	366185	334132	304680	277641	251647	228720	207780	188640	171657	155985	142090	129072	117782	107627	98266
800000	606990	568924	530646	490724	452715	415151	378167	344562	312328	283882	257530	234916	212587	192697	174840	159706	144184	132923	120461	110532
900000	680153	637460	593216	548787	506170	462677	421973	383791	348761	316508	286120	258816	235664	213615	194275	175978	160651	146588	133271	121624
1000000	752517	705840	657166	607365	559153	510852	466554	423197	384664	347782	315375	285190	258149	234959	212668	193256	175188	159851	145232	132877
2000000	1474896	1374668	1276165	1173514	1076543	978686	889286	802240	724980	651403	589167	529820	476541	430561	388087	350996	317166	287611	261009	236378
3000000	2183670	2034234	1879534	1728574	1579024	1431423	1296425	1168114	1050445	943484	848668	760824	682318	614098	552698	497494	448273	405552	366288	331641
4000000	2886336	2683384	2478547	2269779	2071752	1874714	1692589	1523196	1365998	1224790	1098305	984399	881918	791057	710376	638658	573740	518362	467402	421419
5000000	3582556	3327069	3068036	2807624	2555391	2314014	2085061	1871599	1675617	1499858	1342824	1201182	1073924	960923	863178	774805	695168	623619	562963	507719
6000000	4273877	3965991	3652628	3339636	3036027	2745120	2469811	2213920	1981553	1770881	1582619	1411905	1261890	1128250	1010952	904645	812534	728886	657959	591636
7000000	4962905	4604626	4235511	3868699	3512982	3170614	2849839	2554137	2281352	2037651	1816080	1623059	1447645	1291575	1156897	1034182	926015	830640	747115	672277
8000000	5646082	5235807	4811051	4392702	3981875	3592182	3227848	2889117	2580181	2298258	2050009	1828019	1627728	1454178	1298264	1161879	1038665	930685	836268	751322
9000000	6333124	5862312	5379997	4910333	4452892	4013905	3599123	3222491	2871324	2557525	2278397	2030290	1805315	1610624	1436722	1285135	1148338	1026889	922477	829290
10000000	7007339	6486493	5954616	5429478	4921912	4427950	3970643	3548989	3163713	2816227	2505038	2232368	1983511	1766305	1575215	1409232	1256119	1124562	1007045	905607
20000000	13712993	12640454	11557951	10491550	9468672	8480471	7567189	6729757	5969150	5283823	4675929	4140846	3661686	3245308	2882218	2557286	2272400	2023070	1804743	1614050
30000000	20294346	18673099	17036309	15421516	13880710	12400212	11041450	9776519	8643775	7631932	6740745	5950274	5243086	4631489	4101761	3626749	3209669	2854744	2538576	2261085
40000000	26814083	24628292	22422305	20270733	18211036	16239064	14420516	12757921	11249613	9909792	8734379	7688421	6764878	5963448	5263687	4653128	4109189	3645655	3232941	2874776
50000000	33276211	30524024	27760289	25058423	22477366	20017538	17748971	15674527	13802919	12136433	10674548	9385475	8240832	7255356	6387694	5637572	4976319	4403188	3900509	3463983
60000000	39686520	36377853	33048830	29793751	26694470	23745241	21034662	18545749	16307239	14321602	12573667	11044218	9684602	8513537	7493475	6596904	5813120	5139733	4549929	4028430
70000000	46056212	42185615	38297155	34492274	30870981	27430181	24272589	21380729	18784314	16478831	14450374	12669520	11100965	9740955	8569592	7533241	6629994	5858130	5179262	4585477
80000000	52414292	47965628	43506955	39151167	35021280	31079192	27479345	24183301	21220983	18589982	16289566	14278679	12489478	10953874	9623455	8454454	7431235	6556068	5793812	5127069
90000000	58729838	53706579	48686864	43788728	39130903	34714398	30665953	26958921	23642447	20698704	18108316	15860975	13865754	12145931	10659580	9358022	8222185	7247920	6397366	5654566
100000000	65028800	59443530	53846731	48395195	43224670	38318101	33800753	29712805	26035729	22768940	19911958	17420786	15219831	13316017	11689825	10254490	8998434	7923926	6991789	6173587
200000000	127034848	115699667	104403637	93449177	83097627	73316893	64388900	56302560	49075689	42722437	37165904	32352329	28100101	24489528	21362633	18649028	16279512	14255643	12516853	11001713
300000000	187919394	170791232	153753627	137287423	121793938	107169551	93858134	81839997	71121209	61713953	53535324	46459282	40235923	34952310	30402341	26463447	23024374	20104907	17606361	15430500
400000000	248096754	225109037	202356074	180363652	159725372	140273228	122640463	106697166	92547013	80140241	69362693	60062844	51899228	44992120	39046112	33913264	29454679	25679612	22426350	19619067
500000000	307698561	278889538	250361878	222901496	197105023	172856231	150878833	131077754	113481003	98113251	84802741	73301010	63235261	54715188	47427726	41114858	35638249	31022285	27052215	23629515
